S,ssi,smpi,enl
16,0.8169020447151326,0.8329728778351868,0.6227498481954025
20,0.817055950824626,0.8361572303189145,0.6225197047841851
24,0.8116737605363152,0.8327548123276769,0.6307105799752
25,0.8111490438505351,0.8329529462840478,0.6315454252941097
28,0.8107786458166732,0.8337147432690873,0.6321037182622885
30,0.8123041108672023,0.8345124314799827,0.6297424340475313
32,0.8092350140453751,0.8323912284955555,0.6345012034037589
35,0.810568705486374,0.8338059218032512,0.6324355153969368
36,0.8089008847346482,0.8336502369427582,0.635023560010222
40,0.8102307148934061,0.8340091966109723,0.632945592625161
42,0.811061376614691,0.8344605468438366,0.63164669510206
44,0.8219801710168023,0.8349585925367559,0.6150681722662039
45,0.8081701380723187,0.8338096066989031,0.6361762154362666
48,0.8079811992732118,0.8339010766419453,0.6364419397566758
49,0.8099527431972516,0.8343813745745878,0.6333714994614879
52,0.8105287026366423,0.8348288220311277,0.6324878670897776
54,0.8084116014312873,0.8345544044156297,0.6357721478740701
55,0.8119982777864889,0.8342561801340486,0.6301949641285105
56,0.8083060053799711,0.834379559922483,0.6359543160189851
60,0.8109619167703107,0.835305811425996,0.6317867426382463
63,0.8076855017292685,0.8343575536565888,0.6369238063271343
65,0.8102288535950465,0.8351197802441466,0.6329582925362957
66,0.8137308248765724,0.8338831123745825,0.6275360541749241
68,0.8096560515533515,0.8349930263342491,0.6338410914108769
70,0.8095114334953509,0.8350336068164296,0.6340555719360456
72,0.8058435161611207,0.8348810415927802,0.6398230322187255
77,0.8114969557996883,0.8353836947822924,0.6309638868040929
78,0.8101549799753186,0.835812628965544,0.6330406594446857
80,0.8089719750560773,0.8356114268110719,0.6348839497659375
81,0.8053505376599982,0.8345775116562645,0.6406065805575594
85,0.8094263984530731,0.8352997506727525,0.6342043821936726
88,0.8114925532522616,0.8339033683887143,0.6309767709442098
91,0.810561589265951,0.8358038459423889,0.6324221915440492
99,0.8089522559369152,0.8358198054771195,0.6349149021608514
102,0.8096484043225759,0.8361007269110677,0.6338310424964564
104,0.8064155442382384,0.8358945876436802,0.6389156416502538
117,0.8076004058327235,0.8358912001440384,0.6370505470411201
119,0.8090653240334231,0.8357307511765569,0.6347538131483512
132,0.8102598387911824,0.8354396203159762,0.6328673270097539
136,0.8068674030651916,0.8365077462985303,0.6382002357904729
143,0.8095792462214072,0.8369031935548411,0.633931845034617
153,0.8066319752780344,0.8360307509292619,0.6385730106210341
154,0.8106063958418277,0.8359558000627823,0.6323508260775841
187,0.8100368377079867,0.8375074274644609,0.6332158285080821
221,0.8089319241532706,0.8373921332998249,0.6349529508022994
