S,ssi,smpi,enl
16,0.6960677013047651,0.7112228014081095,0.6727738918707614
20,0.6936268822175281,0.7102351047799936,0.6775161922485909
24,0.6921128044381212,0.7104583252145467,0.6804748407038987
25,0.6916035653204727,0.709693165942606,0.681474355978858
28,0.6915263083108822,0.7100628980023991,0.6816309070457691
30,0.6902024794668976,0.709992823878222,0.684236860654925
32,0.6909975965193255,0.7103538647234897,0.6826662795925768
35,0.6896852179411864,0.7096155754363951,0.6852623969715103
36,0.6902879677924445,0.7104318253120014,0.6840753978908212
40,0.6902621015822311,0.7097329111395492,0.6841239689746829
42,0.6883876485893086,0.7102475020079128,0.6878423949424773
44,0.6911681801509862,0.7106540785215435,0.682331698352933
45,0.6890510497026356,0.7100877073284693,0.6865206977325509
48,0.6879850049085745,0.7108353625290917,0.6886380183844676
49,0.6879708547522735,0.70995325652544,0.6886764523115408
52,0.6898567874231997,0.7117429254113524,0.6849216678232761
54,0.6876838948495022,0.7107670843142629,0.6892486395427891
55,0.6897283138396044,0.7105692119632078,0.6851715126982157
56,0.6902773023998253,0.7102667579652043,0.6840968620242753
60,0.6890885825688292,0.7107040094404452,0.6864561333545917
63,0.6872748677130435,0.7105505518935741,0.6900687007174511
65,0.6883299018082063,0.7117121975121679,0.6879559922106165
66,0.6883150392274586,0.7113364980318682,0.6879802352769386
68,0.6904002173199345,0.7123978326974734,0.6838299958797385
70,0.6886734335280988,0.7094043656744707,0.6872657785923382
72,0.6870235745974101,0.711099168153838,0.6905645672648785
77,0.6879772123218835,0.7109864837744617,0.6886538530156334
78,0.6870673059832131,0.7123617423862549,0.6904770981066725
80,0.6901843394717995,0.7115440696235511,0.6842654374892992
81,0.6865053017802825,0.7112758527714323,0.6916108131621219
85,0.688311226195672,0.7115886828348663,0.6879749349429355
88,0.6879607096364436,0.7115674779093888,0.6886753840883528
91,0.6867917401649087,0.7120891403186436,0.6910332315649403
99,0.6873309314398995,0.7118447742295989,0.6899466781269542
102,0.6872110592664604,0.7125509318675392,0.6901810110199944
104,0.6865588544395452,0.712747972507052,0.6914916484473901
117,0.6862677336298085,0.7127220722849392,0.6920879400069873
119,0.6865185574901151,0.7125722333150282,0.6915759931682761
132,0.6909632843338479,0.7128029813292502,0.682716178051643
136,0.6861321034267377,0.7131886239193121,0.692350834643653
143,0.6869266286093009,0.7132465616820128,0.6907523657264847
153,0.6855057619442274,0.7132030313747659,0.6936166041900533
154,0.6879449100976868,0.7119529284956193,0.6887068086879097
187,0.6862934047082009,0.7145136650481579,0.6920254229401146
221,0.6856902594017411,0.7142777110639241,0.6932433940363124
