S,ssi,smpi,enl
16,0.2790245724544938,0.279096077517208,97.98136979282695
20,0.23935914902199465,0.24106685262869051,130.8570842232988
24,0.2214349269101421,0.2225877617529909,154.67313440441418
25,0.20782807864522063,0.2105785272007012,172.57627846901204
28,0.22899916300476103,0.22948854584614775,144.0083439212603
30,0.19748755473878504,0.19999938218978583,193.2580141779101
32,0.21779790527118842,0.2180130905257683,158.7870314731146
35,0.199747233037305,0.20114566772447642,187.96535284810537
36,0.20123053849327383,0.2025287599837765,186.93538069087796
40,0.20334874742762554,0.2037911703337898,182.3704356334379
42,0.19101155023395663,0.19246262551597149,206.089980261247
44,0.20052717590766472,0.20207434644630234,188.8307307190592
45,0.1845585743248351,0.18665188440608677,219.01518017269746
48,0.17747437950393474,0.1784988753816886,238.1500988328399
49,0.1899755567158391,0.19056190032767928,209.05381439974664
52,0.20044547107108382,0.20075623780907675,188.4747502152395
54,0.17238833753328106,0.1742924844891485,253.70631866015054
55,0.180094417997805,0.18264408437727966,231.9368835694209
56,0.191444463717185,0.1918029115736464,204.98270836369076
60,0.18789752907229768,0.1883511889627242,215.86547499808046
63,0.17894113810109763,0.1803832600466802,236.02215204292662
65,0.17310406256640906,0.17436359488962164,248.80251247843788
66,0.166115396562332,0.16934554162678175,271.8747419990852
68,0.19092752487067335,0.1914145227417965,204.9797465947951
70,0.17696807048912225,0.17730947769789077,238.06686417323408
72,0.1754133862748478,0.1760015593175528,241.8365185855192
77,0.17426725103015497,0.17600128728294973,252.37074170608565
78,0.16501568640636857,0.16626737300161756,275.65946498193136
80,0.18207603094092822,0.18330149941984544,227.23509309567405
81,0.17131652893495836,0.17302100584228647,252.94871148296824
85,0.1715410589984795,0.17229665608925482,252.36446199487855
88,0.1694498229591368,0.17055558571674062,261.91441771065774
91,0.16572792157324595,0.1663750975549953,273.56937231474456
99,0.15995082915485032,0.16214824027463157,296.092953237637
102,0.15837749676758522,0.16040717317671377,296.0622495722778
104,0.1602410818745468,0.1605303076768586,289.64062417750256
117,0.15762786763808687,0.1590293531482219,300.0392301191101
119,0.17183733959461422,0.17336098109924153,253.19528424000384
132,0.18507776023640457,0.18642429919711737,219.20241467412097
136,0.1656496775452172,0.16564613596257935,270.50401845651106
143,0.15217429641272706,0.1540813802548866,326.5337067880088
153,0.15898173293699205,0.16029888612811952,293.6705912510064
154,0.15107356478862677,0.15299086850612306,325.2205324839724
187,0.14495574081097898,0.14697896635331234,353.2515459931087
221,0.15144743686375728,0.1524923525041674,323.61679729153246
