"Method","Max","Min","error"
"ENL",0.6328943805330924,0.6259840649815324,0.006910315551560076
"SSI",0.7215878484339997,0.7176376745828325,0.003950173851167249
"SMPI",0.7229821528169114,0.7183412217875013,0.0046409310294101
