"Method","Max","Min","error"
"ENL",0.6931164616340002,0.6897695153127064,0.003346946321293842
"SSI",0.7761196022736344,0.7742434571597933,0.0018761451138411545
"SMPI",0.7838586545307248,0.7807738162190883,0.0030848383116365286
