S,ssi,smpi,enl
16,0.7173771752277225,0.6606226036106694,0.6336455716598117
20,0.7158906745560065,0.6550767975045356,0.6364219204779034
24,0.704094715289194,0.6431272214465221,0.6576105513985085
25,0.7027302501660663,0.6418765997134617,0.6602412511357876
28,0.7010654867967815,0.6383883167462799,0.6633278212057135
30,0.7026966588695174,0.6386234124322642,0.6602860049980547
32,0.6960524296557863,0.6329914834157517,0.6728499083810352
35,0.6980201818559455,0.6334299568930493,0.6691467981283135
36,0.6952706621432967,0.6308493662421752,0.6743701053330029
40,0.6956538977939166,0.6300334142889982,0.6736511409588037
42,0.6970809560113187,0.6304801050436056,0.6708830310665552
44,0.7110540018313738,0.6387943776464802,0.6449806516789831
45,0.6920320370861883,0.6263579863609648,0.6807080302596946
48,0.69073213835168,0.6252086543955625,0.6831599113068157
49,0.6940124637083751,0.6267814493694357,0.6767953781824865
52,0.6943401672241104,0.6255544324256084,0.676204644549751
54,0.6911694295009531,0.6238656435071394,0.6823314826056635
55,0.69513687547285,0.6263370425317033,0.6746290194639025
56,0.6902008952220975,0.6232266321600137,0.6842962293239391
60,0.6938931985636284,0.6253398223391587,0.6770200281415267
63,0.6888015388096399,0.62124847107082,0.6870487049440692
65,0.6923368246107878,0.6228342732792055,0.6801355413244246
66,0.6967106656983518,0.6251966909762068,0.6716389433187406
68,0.6912132904523838,0.6213070797461464,0.6823187951948816
70,0.6905393898276313,0.6218027822552302,0.6836056690492084
72,0.685077389106862,0.6172825301779957,0.6944843000527341
77,0.6929796566266178,0.6225662381732906,0.6788241822497612
78,0.6914835110867469,0.6210457152881036,0.6817087344993693
80,0.6891137487650026,0.6203455804767001,0.6863724931664199
81,0.6841204732575048,0.6163294347504169,0.6964284833939828
85,0.6896399804836989,0.6193241306400699,0.6854469821488941
88,0.6911108488106048,0.619180570436007,0.6825152683551606
91,0.6911734218590112,0.6201788145154429,0.682371933505236
99,0.6882649594219062,0.6175475472774679,0.6880664480331213
102,0.6894924533798727,0.6183525576654275,0.6856567983258209
104,0.6844978921855494,0.6149095026565499,0.6956607006710512
117,0.6858925706610524,0.6153942911964432,0.6928597131201866
119,0.6876808940028826,0.6165988509999675,0.6892941289981817
132,0.6884154210305916,0.6167055162076712,0.6877657102289371
136,0.6842626610848034,0.6137657874918799,0.6961390817646453
143,0.6881504760105724,0.6161086719126998,0.688295405940925
153,0.6835199040653381,0.6129307103715131,0.6976528811734739
154,0.6887455344280906,0.61638739941959,0.6871975272979656
187,0.688299972399116,0.6157112592080481,0.6879964476173621
221,0.6863189344571976,0.6139942068755548,0.6919987108324204
