"S","ssi","smpi","enl"
16,0.7810819346809292,0.7825597805632974,0.6811139008397804
20,0.7801999293674122,0.7822343032870348,0.6826480060072041
24,0.7775899003237521,0.7819292723472829,0.6872114374026066
25,0.77798012315316,0.7822680127188529,0.6865336564285852
28,0.7766861668630173,0.7809558626392603,0.68879215017085
30,0.7770968479271224,0.7827533434800951,0.6880745942236544
32,0.7750085962123642,0.7858408847893774,0.6917787310630926
35,0.7764435167074157,0.7824330985806909,0.689243611161664
36,0.77539932969007,0.7829838003512126,0.6910624133038724
40,0.7763001564296275,0.7823408724925943,0.6894698460189052
42,0.776476092968237,0.7834157764658697,0.689149290191611
44,0.7828577615266765,0.7791732076550832,0.6780168734703157
45,0.7750639231499997,0.7804104127537405,0.6916897220168092
48,0.7748396265234928,0.7801818181888132,0.6920502904678352
49,0.77451303857621,0.7790206968812103,0.6926518530373051
52,0.7755830412688383,0.7829805550218711,0.6907477894460485
54,0.773561522292789,0.7834254586260502,0.6943498155516715
55,0.776789777457917,0.7800496292928383,0.6886041532293946
56,0.7741457504400742,0.7808531450181935,0.6933264852278733
60,0.7764074772108739,0.7796740256887872,0.6892638105326752
63,0.7738611140475932,0.7848910727462474,0.6938219169019614
65,0.7751893971432668,0.7813192704296662,0.6914491773606022
66,0.7774394201666519,0.7795270243086106,0.6874523851829012
68,0.7748493569408459,0.7814360880168417,0.6920453574248153
70,0.7767492046691012,0.7794680170595331,0.6886569203306606
72,0.7733050820435926,0.7862131065676315,0.6947996210354717
77,0.7743890375822923,0.7865867448939199,0.6928821905396387
78,0.774254663582143,0.7817331618333639,0.6930998789190665
80,0.7776079752365399,0.7770920820684561,0.687131549087546
81,0.772952315342123,0.7831744927097214,0.6954339631457396
85,0.7747309211715371,0.7818028984130666,0.6922607026777287
88,0.7778857189097917,0.7814305200130127,0.6866506503008125
91,0.7758054340795452,0.7810560913024562,0.6903434181026703
99,0.7735372600490322,0.7827955978548773,0.6943825939864535
102,0.7739898685926102,0.7826632246891926,0.6935815138789673
104,0.7738214056545228,0.7841372344498617,0.6938727359338417
117,0.7743379919626449,0.7826659918084639,0.6929473536130981
119,0.7753302594631037,0.7845303597179831,0.6911769932850911
132,0.7749929457262346,0.7796420537391288,0.691776496741377
136,0.7729065936846293,0.7844200993796204,0.6955162430336268
143,0.7732499059377266,0.7832488580263792,0.6948987809704874
153,0.7725135382653907,0.78382716736452,0.6962255396208076
154,0.7744749220456837,0.7812646430192827,0.6927331124730545
187,0.7756665995702546,0.7828298227631734,0.6905754252191443
221,0.772750907867648,0.7844020613194844,0.6958031583705526
