"S","ssi","smpi","enl"
16,0.5133957859438774,0.5010055965424738,24.695764622643896
20,0.537620093697729,0.5235186230930886,22.899928641863898
24,0.5495107028208012,0.5305514384660242,21.972905915761203
25,0.5504284417627581,0.5359833116872731,21.830715384154367
28,0.5244181118349741,0.5126715705803282,23.947275822219577
30,0.546075343033034,0.5310726778173219,22.151806297592103
32,0.429432715264749,0.4162136577582434,36.25844246459552
35,0.42507364995760233,0.4147631146945879,36.356308151130825
36,0.41463450944079777,0.4036608162761905,38.39605319458484
40,0.42337942983113913,0.41193875955950887,36.50649505911626
42,0.3973185669464227,0.38690920481156543,41.49515262988887
44,0.4332378528821054,0.42188573941080565,35.21207762017561
45,0.4446025471790343,0.43202219994613966,32.60241498395294
48,0.3948115952541501,0.3826806465421033,40.914578045198375
49,0.3723067196326016,0.36337820851529495,47.285980950936924
52,0.3870342360808522,0.37528099555303285,43.18333653950803
54,0.40638047943857686,0.395951184865301,38.54024931964137
55,0.37868901022310786,0.3692041167129236,44.91649881094858
56,0.3773694782871723,0.3668554145292184,45.220366002923676
60,0.40291111977093697,0.3923668420766554,40.06860017026001
63,0.38471005304856815,0.3751567149652342,43.46322884594601
65,0.36786164465903676,0.35706692774884674,49.325718114408666
66,0.3578263846694224,0.34817718372209017,49.939445926667794
68,0.34157058694306325,0.33366781702766635,56.357119407079885
70,0.37969227544014766,0.36910579915072467,45.50623629809263
72,0.37387176929477245,0.36369389688154036,45.59365054391765
77,0.3543817184221757,0.3441844698115115,51.995101021166896
78,0.3631910797127651,0.35440227877124586,49.11604940389351
80,0.34808676614380096,0.3388400300652008,52.920592087945565
81,0.3855993870018344,0.37511414735782633,42.65480049592746
85,0.3888608941550235,0.38026116610682015,43.28610051654008
88,0.34532670787427505,0.3372797722398635,54.097987807100544
91,0.3183691054415319,0.3090898121242543,64.60817403452589
99,0.34895476869185,0.3396980609916538,53.138986736649706
102,0.37081133312886705,0.36148884234791606,46.211303384518565
104,0.3043409727187385,0.29654054397657403,69.00749399004911
117,0.35496346958261066,0.34516176738028403,50.32957764217332
119,0.32450685338229396,0.3165708589239026,60.44125967603908
132,0.3385649736095611,0.33086503909831383,55.90635472650584
136,0.3422851112259504,0.3334940433117491,54.12484986196574
143,0.3127016022509958,0.3040586198040621,66.34810385417725
153,0.34833440026952406,0.3384936731815996,52.26127367258161
154,0.31620426800339063,0.30779129936255895,63.42161056936928
187,0.289700730180785,0.28196574341447733,75.55679752674513
221,0.31637309601568914,0.3081609285592747,63.35394054513011
