"S","ssi","smpi","enl"
16,0.6992730823838188,0.714238232417758,0.6665975124208975
20,0.7005503983018879,0.7176063046697911,0.6642060839674621
24,0.7002736696890582,0.7209987806677569,0.6647210851739916
25,0.7024904788210676,0.7212741754951286,0.6605158123484705
28,0.7016005485865567,0.7207926609006726,0.6622326004216342
30,0.7008875592473499,0.7227378310909364,0.6635540266862282
32,0.6824564774803423,0.7016571983886151,0.6998720656659668
35,0.6824885880816698,0.7026338614161796,0.6997794117226749
36,0.6831393399443701,0.7030763880745293,0.6984656829588112
40,0.6837176765046903,0.7028381257504053,0.6972843513015325
42,0.6822940229161248,0.7047275408996749,0.7001783132233738
44,0.6839713134167874,0.7010191920021452,0.6967780422236469
45,0.6836586282468953,0.7068894138945375,0.6973903473852183
48,0.6757630914160035,0.6984518332493856,0.713766767364491
49,0.6771882371680623,0.6990707409198625,0.7107843679586588
52,0.6782335095262527,0.698802006323575,0.7086031331596262
54,0.6764303699362538,0.6997605569449883,0.7123668713147886
55,0.6778280120816064,0.6975010209480629,0.7094319517930403
56,0.6792712478482124,0.6999115499810697,0.7064494046433546
60,0.6783073511201475,0.6990566913295998,0.7084349973051365
63,0.6766311912303601,0.6989317514450254,0.7119469539493632
65,0.6749977922092362,0.6982187400036375,0.7153940521353529
66,0.6740792061400178,0.6963364303356647,0.7173529987205091
68,0.676272031772004,0.6989335870394853,0.7127001819162819
70,0.6755304428761894,0.6949527628674438,0.7142689342279444
72,0.6739562984960831,0.6990216468536182,0.7175976998945677
77,0.6737440855359322,0.6956877046690492,0.7180546125258372
78,0.6749715820910349,0.7000970594197452,0.7154537781540282
80,0.675262577576214,0.6960655800270167,0.714845922417157
81,0.6721322592850132,0.6954550015754816,0.7214975844031302
85,0.6739819821570144,0.6960235055458359,0.7175431295206331
88,0.6723613042284171,0.6953983207547509,0.7210018220230915
91,0.6719029873764045,0.6965485672006506,0.7219882727152027
99,0.6715214487179645,0.6968894862975649,0.722810897469406
102,0.6709290536043615,0.697831430968705,0.724086581165037
104,0.671871688976871,0.6983983452683411,0.7220568282371844
117,0.6704811679124337,0.6970460562050894,0.7250694713091302
119,0.6699695149598699,0.6956471621236541,0.7261683971760133
132,0.6738498957295946,0.6953569419877296,0.7178333899617643
136,0.6692811288414603,0.6944850826931666,0.7276533625776177
143,0.6708036756966735,0.6977462392974338,0.7243539724412837
153,0.6680450527065803,0.6939940705777378,0.7303485911686106
154,0.672548325598594,0.6950432683571284,0.7206007478584436
187,0.6689119980123756,0.6974948392783845,0.7284566772181502
221,0.6682178233737901,0.6960073785773115,0.729970970289858
