S,ssi,smpi,enl
16,0.6879109907042696,0.6357285576877741,0.8780500619899959
20,0.6810324317526769,0.6233030197777438,0.8958714653965703
24,0.6759310084579963,0.6141800450981212,0.9094405245682975
25,0.6751933723478777,0.6127341031210957,0.9114287103565527
28,0.6726589975120673,0.6078603951517335,0.9183121741945339
30,0.6707045351501755,0.605035276305424,0.9236562415009001
32,0.6699676265910319,0.6029941211148954,0.9256996379766019
35,0.6677721612404807,0.5994844973240648,0.9317882114712407
36,0.6675876010940663,0.5989021210906041,0.932315268483994
40,0.6661428631371177,0.5959361017562004,0.9363636705420076
42,0.6640541397070979,0.5935691784887991,0.9422409496490657
44,0.6653191775186151,0.593646747514466,0.9386981347596901
45,0.6637755132418964,0.5923600408273416,0.9430475346589262
48,0.6623941095534893,0.5902682405608223,0.9469630536780489
49,0.6618023583405231,0.5894521113169545,0.948661853223487
52,0.6628812883359914,0.5897563965849427,0.9455970496729893
54,0.6605222399651106,0.5874899698220515,0.952345729007494
55,0.6616874683182785,0.5875021113529075,0.9490123674721224
56,0.6628644295385849,0.5871425176139657,0.9456666788009453
60,0.6606248615592675,0.5867795297175327,0.952058220973041
63,0.658503049063742,0.584033070712418,0.9581907899062989
65,0.6594596439445124,0.5843360873121575,0.9554209961078676
66,0.6588885226603534,0.5836335539662862,0.9570781842992652
68,0.6625792131419842,0.5842648992433,0.9464479777815008
70,0.6593800731621164,0.582655270842961,0.9556651044101377
72,0.657393055284167,0.5816373416394532,0.9614217322244533
77,0.6571490696284595,0.580540134788509,0.9621436376902086
78,0.6568772030468926,0.580681141072511,0.9629372671923656
80,0.6607214860223107,0.5813309112081668,0.9518079886210826
81,0.6556001771214296,0.5797172767785516,0.9666890115244453
85,0.6590478755640057,0.580153564324652,0.9566055622929039
88,0.6563450760505404,0.5783781368967285,0.964492108686243
91,0.655443261360804,0.5781619938536252,0.9671532452642438
99,0.6544851136706725,0.5766533480006276,0.9699855311207827
102,0.6565444406156098,0.5772707086640536,0.9639086450282518
104,0.6545377006705799,0.5762724654711457,0.9698219458503717
117,0.6531024113545628,0.5748968267955509,0.9740951096666165
119,0.6546355548222111,0.5750336923463057,0.9695373080468791
132,0.6598976245347954,0.576250992928686,0.9541557758946052
136,0.653820982571993,0.5736129808243666,0.9719492603779593
143,0.6524650691302663,0.5726936180347091,0.9759967130098528
153,0.6521581897652968,0.5724602821380637,0.9769118924345928
154,0.6527090479655961,0.5720526207397802,0.9752636455007254
187,0.6511166464480392,0.5704943540162805,0.9800397800885092
221,0.6505069389671175,0.5695762590212528,0.981877785434429
