S,ssi,smpi,enl
16,0.7374588591437732,0.6553981964218512,13.757732350786092
20,0.7406470869842572,0.646260066375044,13.67951456330814
24,0.6891794548514806,0.5923458846118079,15.681322345721034
25,0.6750644769558375,0.5796029221851879,16.335847350863542
28,0.6819201286597376,0.5801805891284545,16.034332889628566
30,0.6935199462736956,0.5878800040444865,15.50689468769352
32,0.648260328240061,0.5467849486418211,17.6894915398373
35,0.6434237084563234,0.5421603454409873,17.991230522157963
36,0.6477576220848924,0.5441864930833789,17.813180649805094
40,0.6470746912649914,0.5416564775890541,17.820837121551545
42,0.6367666141419709,0.5315925137971669,18.37886803604341
44,0.7874163425118458,0.6732571980529738,12.13953217362708
45,0.6230572239047516,0.5192427071398169,19.151410995328206
48,0.6288314310862547,0.5187309583808236,18.77095759740664
49,0.6347590375993597,0.5251334477739489,18.42330588747836
52,0.6366984522267727,0.5283107954001532,18.424526949534183
54,0.6101579767254053,0.5031130399467096,19.945091351383816
55,0.6374817660991227,0.5278629075546216,18.282203404578173
56,0.5900920036246398,0.4849809450321212,21.42725609024577
60,0.6291180236171541,0.5169057833774394,18.809275162985845
63,0.5750571940828927,0.4729235533918312,22.495078884758243
65,0.6028738875038459,0.4966319956754952,20.476729697772036
66,0.6966078042014943,0.5778511928583268,15.433478686949956
68,0.6199326480873266,0.510109790503121,19.414957310381563
70,0.5837698217324353,0.4781702119013544,21.836327926310563
72,0.575654222148665,0.46823929279853194,22.39914917280127
77,0.5880318609064743,0.4801850601237185,21.604894200806925
78,0.5877705597710935,0.4805030165244661,21.565697403788104
80,0.5747276316688756,0.46688177428025684,22.47143234825006
81,0.5626805168864313,0.4590993521544579,23.44396990957973
85,0.5964961251261134,0.4879385789703358,20.919216746220833
88,0.6403952906719617,0.5249423159939531,18.234248711918347
91,0.5627680400299151,0.457806337004339,23.540344071211674
99,0.5744392765205004,0.46535774507234523,22.493998282776335
102,0.5738682935385863,0.4661264120739354,22.54909563074064
104,0.5278375352319742,0.4259892420963767,26.641236033609026
117,0.5170045891972674,0.41797925889574483,27.934381620841055
119,0.544951889342964,0.4410581256041386,25.072728643387464
132,0.5944485541703749,0.48001598314321897,21.00517773085301
136,0.5252943287950754,0.42177269678926105,26.89982697870014
143,0.5245781067295585,0.421364908537062,26.973331388376266
153,0.5214863963866995,0.41994638304949106,27.387427537557816
154,0.5548296787181737,0.44802364051281807,24.39970582176334
187,0.519396078020652,0.4164648239474351,27.514243655219783
221,0.4883011973236203,0.3911006025243682,31.164086039375874
