S,ssi,smpi,enl
16,0.7540622603218771,0.6743686169464321,0.731059149958734
20,0.7513912548672309,0.6677362512791509,0.7363343483311428
24,0.7377795860249892,0.6505858810033021,0.7634297970575281
25,0.7357385354475531,0.6483618274832943,0.7677255701364675
28,0.7337861399458101,0.644600095509635,0.7717733857366758
30,0.7359037650910591,0.6450864280468314,0.7673688967276435
32,0.7293974726034718,0.6373658968269984,0.7810389919040257
35,0.7297442343700534,0.6369377416507259,0.7803605972706443
36,0.7276756955151307,0.634706472731663,0.7847353608368274
40,0.728129013233937,0.6332603947684002,0.7837823028398515
42,0.7278487870774979,0.6326287788902967,0.7843799184814364
44,0.7488407349293423,0.6468876650404483,0.7413148204995321
45,0.7235474635473029,0.6278549787472247,0.7937266632428506
48,0.7220982347700569,0.6258310557382981,0.7968356112892875
49,0.7245744651802278,0.6277397502115709,0.7914627463010164
52,0.726259703258909,0.6281266793342273,0.7878311031684029
54,0.7216915845755315,0.6242714322194342,0.7977574170429005
55,0.7265162906705321,0.6272384502914913,0.7872603200768626
56,0.720640524084202,0.6227117657396799,0.8001278695426566
60,0.7242718609763426,0.6253391898396354,0.7921072313711809
63,0.7190687903034244,0.6201557166972104,0.8036074822216849
65,0.723019322982618,0.6230610385101197,0.7949155193358394
66,0.7302710030077181,0.627267199488869,0.7792478753726326
68,0.7229681713462447,0.6223480198795002,0.7949950393641753
70,0.7206521872510468,0.620535208770797,0.8000869945845013
72,0.7153584476761683,0.616015222140215,0.8119211998391027
77,0.722552591192899,0.6211648775376346,0.7959050718002689
78,0.7211254937212347,0.6201380663964231,0.7990150849730862
80,0.7187952571249798,0.6180691194471638,0.8041756076292278
81,0.7140817061682203,0.6138639365985612,0.8148271423775223
85,0.7201904755960608,0.618260589075456,0.8011483279849643
88,0.7236332839296951,0.6193395549896438,0.7935343732649116
91,0.7203173356248428,0.6181181084283267,0.8008493436456784
99,0.7174962608564593,0.6152557132572146,0.8070900945513015
102,0.7189293525203279,0.6162955326828042,0.8039001129306875
104,0.7138163568693547,0.6120210078291075,0.8154330517147924
117,0.7148299168826826,0.6119845753815316,0.8131431304108486
119,0.7168450673684456,0.6132784250696883,0.8086022723931511
132,0.7183867939411711,0.6134656388863259,0.8050903502579291
136,0.7132743701979452,0.6101574297240207,0.8166727478957756
143,0.7164750171133325,0.6125611060395828,0.8093925422596818
153,0.7124279905676287,0.6085900757544388,0.8186145530455818
154,0.7177584427501758,0.6124225179543893,0.8065666617254128
187,0.7161201101026518,0.6112519311938529,0.8101950061647296
221,0.7139677732776772,0.6087468747220927,0.8151055880748681
