S,ssi,smpi,enl
16,0.7821946485845495,0.8139702419366492,0.6792920911652293
20,0.775618233631653,0.8131743872337315,0.6906963834833781
24,0.778095490850047,0.8132345931590225,0.6864381202619547
25,0.7738804167820681,0.8133110394378312,0.6937969987061975
28,0.7792532886977808,0.8127992658535288,0.6845132307809697
30,0.772818385000497,0.8131902198129586,0.6956994708111823
32,0.77958860329246,0.8162641959721862,0.6837844831645612
35,0.7729828483135248,0.8133474885534406,0.6954034580868289
36,0.7755491973111318,0.812833639642962,0.6908376057630865
40,0.7727282924542791,0.813458205913011,0.6958516154264353
42,0.781621305595331,0.8143372534323549,0.6803377602093666
44,0.7726000393966953,0.8140065258444017,0.6960900176629949
45,0.7730519334526236,0.8134047179822252,0.6952784822840538
48,0.7739505058761936,0.8154853383450638,0.6936762470484172
49,0.7723125397786643,0.8133169335948649,0.696604693751353
52,0.7718064932039544,0.815449211421615,0.6975176673473175
54,0.7834876293697293,0.8127676527300941,0.6773766961914087
55,0.7709563441732638,0.8142185268655614,0.6990544061050459
56,0.7736050885193996,0.813190473597291,0.6942855606896224
60,0.773149711563442,0.8131273358455845,0.6950939558395524
63,0.7751987776029684,0.815053617599641,0.6914602168588849
65,0.7704225725242428,0.8155951440238991,0.7000205232504003
66,0.770106716190858,0.8142719006977555,0.7005918544166526
68,0.7740437259019923,0.8135196274713925,0.693497445755774
70,0.773060612846557,0.8131410813888889,0.6952550977646516
72,0.7719804839744051,0.8136847738435634,0.697196055969879
77,0.7704155000899945,0.8141844012497026,0.7000301830759027
78,0.7699928116043792,0.8151497902572217,0.7007996417277117
80,0.7705366267346363,0.8156901254222281,0.6998137188680447
81,0.7782732186056359,0.8127063433974112,0.6860118810039185
85,0.7722070189588548,0.8137884052146731,0.6967919839198515
88,0.7700984686375798,0.8144508731617435,0.7006006344421669
91,0.7702645157453805,0.8151446000081743,0.7003019052669377
99,0.7703365649882506,0.8146933265375096,0.7001744152240065
102,0.7707579195898449,0.8142963283578242,0.6994075838909076
104,0.7691766322261706,0.8157751055352529,0.7022781200984178
117,0.7701055262334486,0.8156970756595527,0.7005985327989595
119,0.7710981881185754,0.8144523837626226,0.6987933259738633
132,0.7700578691295865,0.8151404189520495,0.7006716972351731
136,0.7715240245685813,0.814228690569614,0.6980112032381706
143,0.7685502203569589,0.8158214773885204,0.7034233793572087
153,0.7713081389394975,0.8144909061023009,0.6984019982237644
154,0.7699149026296361,0.8150345947869014,0.700931938673322
187,0.7691412420804274,0.8157315608688341,0.7023427487919639
221,0.7691465453800251,0.816380497269789,0.7023330634564493
