"S","ssi","smpi","enl"
16,0.7662060243844966,0.784105702524819,0.7077655916253289
20,0.7676351634972242,0.7855575664439159,0.7051536146338546
24,0.7669575194311351,0.7878972640793533,0.7064051947073886
25,0.7671279354748517,0.7899938475306791,0.706099504707365
28,0.7675783971397498,0.7896577728284985,0.7052773486914129
30,0.7678265793241255,0.7890350843663014,0.7048360883539485
32,0.7531706394440808,0.7750292389337982,0.7324663889996569
35,0.7535709978127723,0.7757831226637755,0.731681217527912
36,0.7528456475486257,0.7764527701821629,0.7331054298793667
40,0.7537812212969718,0.7755915963859386,0.7312811876251836
42,0.753430024599115,0.7757680215977277,0.7319608139399302
44,0.7526312106649105,0.7768599837583764,0.733531831815176
45,0.7541784678714413,0.7785504614225641,0.7305259428424371
48,0.7483436818043976,0.7721926805234591,0.7419307200032371
49,0.7480059249525705,0.7732405534783937,0.7426097934255428
52,0.7486958094805738,0.7727773905696346,0.7412466723082607
54,0.7483129343273099,0.773158051167797,0.7419961596050869
55,0.7490878508217265,0.7713502115053075,0.7404797446400796
56,0.7500129949887139,0.7712044844211715,0.7386587516553618
60,0.7484031528315976,0.7730538573632489,0.741825446003207
63,0.747502920580706,0.7763406120624567,0.7436084069384155
65,0.7463822169936708,0.7724776025024441,0.7458478056733071
66,0.7454999106760469,0.7702942362605443,0.7476021124812572
68,0.7486448010910435,0.7689050024982133,0.7413503673796201
70,0.7468423476908229,0.7712777567189144,0.744919453541437
72,0.7456666809507572,0.7712180965612023,0.7472686212224625
77,0.7459127364392887,0.7725930299286756,0.7467920175174565
78,0.7452723935360555,0.7733998437817609,0.7480646484771527
80,0.7469288002152854,0.7686960251550933,0.744765792510736
81,0.7432446913426864,0.7714096728933881,0.7521400213750616
85,0.7460137236770383,0.7722508948546118,0.7465728233223496
88,0.7449456123194047,0.7698500031075011,0.7487115462293498
91,0.7439831495729651,0.7717294563927575,0.7506535339451729
99,0.742873167293235,0.7708641956780689,0.7528929161859242
102,0.7455295782951035,0.7702991864266291,0.7475352312390512
104,0.74183882503548,0.7711016819696246,0.7549920886286277
117,0.741326220903829,0.7722798215433073,0.7560374926133907
119,0.7440506325830374,0.769001729269451,0.750516369602809
132,0.7460843179483175,0.766434324238637,0.7464507122480909
136,0.742863075039302,0.7700338058318705,0.7529112008458251
143,0.7421944810206371,0.7708990614215592,0.7542705441226999
153,0.742309210552985,0.7696640847114339,0.7540351700575392
154,0.7427190141580904,0.767418030295246,0.753203304772525
187,0.7407136089995183,0.768942935538797,0.7572872651732332
221,0.740255510580993,0.7694981458324096,0.7582248318237248
