"S","ssi","smpi","enl"
16,0.3975789469193458,0.40821089937766497,49.253018970105366
20,0.38400170008924966,0.39611200030278215,53.14955356682768
24,0.39698485723794547,0.41026741549871926,49.862635689956946
25,0.3583131871787276,0.378256233200278,59.71865555581718
28,0.3966510594398834,0.4085480301450435,50.421939542146866
30,0.35848351059649136,0.3719315734830005,60.47300945376408
32,0.30256559114181814,0.30913452130940816,85.68447774046408
35,0.2769205621057384,0.2855472253891895,102.69483845422815
36,0.2788714820056143,0.2881391142519204,101.45342650332358
40,0.2851926718039374,0.29327869950174146,95.53714863737741
42,0.27649226577549196,0.28419019531849254,100.49664461369768
44,0.2996533920833277,0.30539013853542024,86.22691913379447
45,0.28349498646891186,0.28990310550146453,95.77619353218041
48,0.250098065461909,0.25909429617755136,119.38581728595781
49,0.21240448039559712,0.22071224958156907,172.70658461818434
52,0.2443791594687347,0.24958706794063604,129.26148020395462
54,0.23165139167803925,0.23544899053245397,146.31430701846404
55,0.2310311798681932,0.23557143613611065,144.16507842173826
56,0.23348361911698057,0.24033261193861535,150.39298269969214
60,0.24221403818579332,0.2474708212880913,136.837195010006
63,0.22544249934818508,0.2324880274793794,151.46149211194808
65,0.21053213267781679,0.21484426548907065,172.96569230716904
66,0.1978279199735975,0.20230317839201387,199.43378232781595
68,0.19622680714095622,0.20289325068534678,202.75973070667496
70,0.2123150770585457,0.2155287221246783,176.07813910735092
72,0.19334484050953515,0.1955536114237019,200.34551346074173
77,0.1990978712972958,0.20078324541074596,194.31367272365725
78,0.21293158401888,0.21704165315761995,167.1783075442255
80,0.1852140248800499,0.1884341560794645,224.6942193582608
81,0.18286591981010222,0.18488167319910365,223.2518398545149
85,0.21228139609660823,0.214769972438258,170.4420508857696
88,0.15775197513817585,0.15915702057873465,300.35542481817356
91,0.2035109432479545,0.20391123305324338,180.64565643937277
99,0.17336371819457905,0.17689012027533213,252.54149453928719
102,0.16635180710013514,0.16957949311332815,278.04011656568974
104,0.14600188367225875,0.15028471064624654,350.7443382270129
117,0.14944979678544154,0.15076837933657725,348.2717064985859
119,0.15423048269194223,0.15419616863578767,312.8787257808543
132,0.15583795066894565,0.15848493230767183,311.50014172434857
136,0.13637972323330907,0.1375848865636417,399.0757157601522
143,0.15194140217436702,0.15180271492079636,322.2500750770905
153,0.14004590391872035,0.1443918929705204,378.4548617376792
154,0.15127714378069856,0.1526820163374081,324.3457999595022
187,0.12423826973706727,0.12667406405441411,480.88820169895746
221,0.13511190524541516,0.1349518055173757,406.60028108390827
